,x_noise,y_noise,z_noise,Success,trans_err,quat_dist
0,-0.02,0.025,0.0,False,-0.032015621187164243,0.0
1,-0.02,0.015,0.0,False,-0.025,0.0
2,0.02,0.015,0.0,False,0.025,0.0
3,-0.025,0.025,0.0,False,-0.03535533905932738,0.0
4,-0.02,0.0175,0.0,False,-0.026575364531836624,0.0
5,-0.02,0.0275,0.0,False,-0.03400367627183861,0.0
6,-0.01,0.0275,0.0,False,-0.029261749776799063,0.0
7,0.0,0.0275,0.0,False,0.0,0.0
8,0.01,0.0225,0.0,False,0.02462214450449026,0.0
9,0.005,0.025,0.0,False,0.025495097567963927,0.0
